1	160m G	1800000	2000000	1
2	80m Data	3525000	3600000	1
3	80m SSB E	3600000	3800000	1
4	80m SSB G	3800000	4000000	1
5	40m Data E	7000000	7025000	1
6	40m Data G	7025000	7125000	1
7	40m SSB E	7125000	7175000	1
8	40m SSB G	7175000	7300000	1
9	30m G	10100000	10150000	1
10	20m Data E	14000000	14025000	1
11	20m Data G	14025000	14150000	1
12	20m SSB E	14150000	14225000	1
13	20m SSB G	14225000	14350000	1
14	17m Data	18068000	18110000	1
15	17m SSB	18110000	18168000	1
16	15m Data E	21000000	21025000	1
17	15m Data G	21025000	21200000	1
18	15m SSB E	21200000	21275000	1
19	15m SSB G	21275000	21450000	1
20	12m Data	24890000	24930000	1
21	12m SSB	24930000	24990000	1
22	10m Data	28000000	28300000	1
23	10m SSB N	28300000	28500000	1
24	10m SSB G	28500000	29700000	1
25	6m CW	50000000	50100000	1
26	6m SSB	50100000	54000000	1
